Wall time,Step,Value
1700646843.1006126,224000,-306.62860107421875
1700646870.5464103,224800,-291.068115234375
1700646898.4133015,225600,-280.8430480957031
1700646925.5410328,226400,-272.5732116699219
1700646952.3145242,227200,-275.2576599121094
1700646980.439472,228000,-276.2825927734375
1700647007.202141,228800,-276.44390869140625
1700647035.545133,229600,-285.28924560546875
1700647062.1994677,230400,-279.183349609375
1700647089.156569,231200,-265.77679443359375
1700647115.778339,232000,-274.334228515625
1700647142.5085454,232800,-288.56201171875
1700647171.7912357,233600,-282.7596435546875
1700647282.9517,236800,-284.674072265625
1700647311.7149155,237600,-291.6888427734375
1700647340.1219845,238400,-284.1815490722656
1700647366.871038,239200,-278.1602478027344
1700647393.9622967,240000,-282.5889892578125
1700647422.9462423,240800,-288.33990478515625
1700647449.2856858,241600,-287.5598449707031
1700647504.2312176,243200,-297.503662109375
1700647530.4567785,244000,-294.95880126953125
1700647556.5828571,244800,-310.37506103515625
1700647583.8208356,245600,-317.9468688964844
1700647612.7347474,246400,-335.8420104980469
1700647639.594087,247200,-333.07806396484375
1700647666.7746513,248000,-327.8898010253906
1700647720.4778259,249600,-318.6160888671875
1700647746.7872076,250400,-322.69549560546875
1700647774.277867,251200,-334.3970031738281
1700647802.2098913,252000,-336.3069152832031
1700647829.7736182,252800,-331.4366149902344
1700647857.5003154,253600,-341.80291748046875
1700647912.5777228,255200,-337.5478210449219
1700647941.1230059,256000,-336.4554748535156
1700647968.3031592,256800,-336.24407958984375
1700647995.8857229,257600,-341.64996337890625
1700648023.236842,258400,-348.37017822265625
1700648079.6775727,260000,-342.2643127441406
1700648107.4497287,260800,-340.5741271972656
1700648162.7757874,262400,-334.7920837402344
1700648216.6805465,264000,-316.4605712890625
1700648243.6971571,264800,-311.9285888671875
1700648270.0244904,265600,-310.6961975097656
1700648297.2335305,266400,-299.36700439453125
1700648324.1519337,267200,-299.9561767578125
1700648349.8430133,268000,-311.20166015625
1700648405.6769648,269600,-303.4952392578125
1700648434.2412882,270400,-304.05511474609375
1700648461.1219501,271200,-303.4910888671875
1700648516.638795,272800,-310.1989440917969
1700648541.9866855,273600,-308.3710021972656
1700648568.62001,274400,-311.8673095703125
1700648594.5454257,275200,-300.51141357421875
1700648622.562841,276000,-297.2505187988281
1700648649.9273648,276800,-307.3975524902344
1700648676.3138332,277600,-303.56036376953125
1700648702.7970705,278400,-299.1016845703125
1700648731.447538,279200,-293.34246826171875
1700648758.395798,280000,-298.82427978515625
1700648785.4141974,280800,-295.5769348144531
1700648841.234477,282400,-300.3904724121094
1700648867.505446,283200,-303.9697570800781
1700648894.313528,284000,-305.4012756347656
1700648923.3584826,284800,-293.4803466796875
1700648978.87798,286400,-288.6272888183594
1700649004.3816562,287200,-294.2817077636719
1700649061.5434656,288800,-280.7476806640625
1700649089.7405865,289600,-282.0960693359375
1700649117.2364416,290400,-276.28729248046875
1700649146.6481917,291200,-271.3587646484375
1700649174.742579,292000,-271.68035888671875
1700649202.902958,292800,-264.7735290527344
1700649230.1227577,293600,-261.12298583984375
1700649257.1684535,294400,-259.5830383300781
1700649284.5957794,295200,-275.2075500488281
1700649312.443777,296000,-270.3713684082031
1700649423.3925905,299200,-266.7098693847656
1700649452.86951,300000,-267.6141357421875
1700649481.102128,300800,-264.5394287109375
1700649533.5260978,302400,-257.45306396484375
1700649560.6937351,303200,-264.01934814453125
1700649643.3768618,305600,-274.4728088378906
1700649672.743924,306400,-271.26873779296875
1700649729.102132,308000,-268.2304992675781
1700649758.4236333,308800,-260.4422302246094
1700649785.9113755,309600,-274.6823425292969
1700649867.6877713,312000,-262.46533203125
1700649897.1966498,312800,-254.2916717529297
1700649923.647208,313600,-253.41737365722656
1700649950.7051528,314400,-258.1901550292969
1700649979.237487,315200,-243.88320922851562
1700650007.1184175,316000,-249.97418212890625
1700650035.898898,316800,-250.70289611816406
1700650063.3187964,317600,-245.16510009765625
1700650091.7058692,318400,-229.53334045410156
1700650119.0611782,319200,-238.43460083007812
1700650146.7725728,320000,-224.9641571044922
1700650173.938301,320800,-223.43441772460938
1700650201.3761313,321600,-213.86856079101562
1700650228.6307852,322400,-216.2179412841797
1700650256.4520557,323200,-212.84104919433594
1700650284.9853024,324000,-215.56573486328125
1700650313.4395645,324800,-214.09632873535156
1700650341.1861258,325600,-204.04063415527344
1700650369.5391374,326400,-204.2455291748047
1700650397.307485,327200,-192.84413146972656
1700650423.440235,328000,-197.340087890625
1700650451.8897264,328800,-197.57215881347656
1700650506.5513222,330400,-187.36842346191406
1700650535.5709438,331200,-190.05506896972656
1700650563.5777524,332000,-196.90863037109375
1700650590.5477653,332800,-203.07711791992188
1700650671.456458,335200,-205.5304718017578
1700650698.2786038,336000,-204.11244201660156
1700650725.3219533,336800,-199.19642639160156
1700650753.6428342,337600,-195.91673278808594
1700650782.874329,338400,-203.02505493164062
1700650810.853866,339200,-207.04237365722656
1700650838.3141813,340000,-218.4442138671875
1700650865.2745695,340800,-228.9040069580078
1700650892.5873387,341600,-237.78453063964844
1700650919.5388122,342400,-238.06124877929688
1700650975.9768293,344000,-247.3489990234375
1700651002.8910923,344800,-256.7949523925781
1700651030.269991,345600,-268.52001953125
1700651114.337,348000,-281.69232177734375
1700651141.7834518,348800,-295.8165283203125
1700651169.6920555,349600,-290.1592102050781
1700651197.3229756,350400,-302.6977844238281
1700651224.7986293,351200,-303.6853332519531
1700651253.6816492,352000,-315.2183532714844
1700651279.7460818,352800,-321.6487121582031
1700651306.749547,353600,-328.78924560546875
1700651362.968158,355200,-335.14422607421875
1700651391.2484574,356000,-327.3952331542969
1700651418.3522186,356800,-331.5370788574219
1700651446.6775532,357600,-341.4712219238281
1700651558.1645894,360800,-342.7801513671875
1700651586.3292701,361600,-346.74273681640625
1700651614.7920258,362400,-344.29229736328125
1700651642.5069861,363200,-342.4339294433594
1700651669.8231366,364000,-338.8603820800781
1700651698.552818,364800,-327.8360290527344
1700651726.2688303,365600,-306.33587646484375
1700651780.7474992,367200,-297.161376953125
1700651835.1707385,368800,-285.826171875
1700651864.650156,369600,-293.4104919433594
1700651892.6539128,370400,-280.76470947265625
1700651920.2882733,371200,-273.2605285644531
1700651947.4037237,372000,-266.3791198730469
1700651974.592926,372800,-256.1481018066406
1700652001.4370527,373600,-251.68211364746094
1700652056.364341,375200,-270.80145263671875
1700652084.4368217,376000,-281.0575256347656
1700652113.1558897,376800,-281.8682861328125
1700652140.9037669,377600,-274.9538269042969
1700652198.413524,379200,-265.7357482910156
1700652227.7451928,380000,-266.6722412109375
1700652255.572269,380800,-267.4916076660156
1700652338.1255248,383200,-253.73741149902344
1700652366.9795067,384000,-260.6320495605469
1700652397.2884696,384800,-259.4215393066406
1700652424.6264975,385600,-279.9937744140625
1700652452.323405,386400,-280.4278564453125
1700652481.6180544,387200,-295.45794677734375
1700652509.3009095,388000,-296.2572021484375
1700652565.2542393,389600,-297.092041015625
1700652591.9393115,390400,-293.48382568359375
1700652619.325115,391200,-292.1573486328125
1700652647.6439645,392000,-296.55072021484375
1700652675.8244934,392800,-305.2671203613281
1700652705.0849078,393600,-303.56591796875
1700652785.8578808,396000,-287.7738342285156
1700652814.7431526,396800,-285.75799560546875
1700652868.2772825,398400,-294.359619140625
1700652893.7705352,399200,-298.5783386230469
1700652920.5693963,400000,-300.87786865234375
1700652974.342098,401600,-304.5457763671875
1700653001.8900714,402400,-309.1435852050781
1700653029.9221942,403200,-314.42889404296875
1700653112.8649926,405600,-317.4562072753906
1700653136.9421732,406400,-327.1357116699219
1700653165.0722642,407200,-323.9389343261719
1700653194.1640053,408000,-329.84722900390625
1700653219.9422386,408800,-331.9560852050781
1700653247.1882634,409600,-344.8082580566406
1700653275.4777563,410400,-347.4634704589844
1700653302.5215678,411200,-345.7052917480469
1700653329.0302272,412000,-338.70196533203125
1700653382.04203,413600,-333.9363708496094
